District,TotalReports,ResolutionRate,ResolvedCount,AvgDaysToResolution,MedianDaysToResolution,AvgDaysToFirstResponse,MedianDaysToFirstResponse,AnonymousRate,CenterLatitude,MinLat,MaxLat,GPSRecordCount,CenterLongitude,MinLng,MaxLng,ImageAttachmentRate,WeekendReportingRate,CitizenEngagementScore,GPSCoverageRate,GeographicSpanLat,GeographicSpanLng,PerformanceCategory,DistrictName
I. kerület,1194,0.482,576,74.009,36.0,23.46,13.0,0.636,47.499,47.436,47.528,1194,19.035,19.021,19.089,0.0,0.286,33.5,1.0,0.092,0.068,Critical,I. kerület
II. kerület,2863,0.536,1534,61.379,28.0,23.787,7.0,0.648,47.522,47.49,47.576,2863,19.008,18.929,19.091,0.0,0.255,51.3,1.0,0.086,0.162,Needs Attention,II. kerület
III. kerület,4063,0.474,1925,73.856,32.0,27.454,17.0,0.46,47.569,47.521,47.61,4063,19.047,18.99,19.075,0.0,0.288,65.0,1.0,0.089,0.085,Critical,III. kerület
IV. kerület,1082,0.566,612,74.843,33.0,18.804,7.0,0.689,47.567,47.495,47.611,1082,19.097,19.038,19.124,0.001,0.306,33.9,1.0,0.116,0.086,Needs Attention,IV. kerület
IX. kerület,1952,0.571,1115,71.218,34.0,21.28,10.0,0.623,47.475,47.442,47.495,1952,19.08,19.055,19.148,0.0,0.326,43.9,1.0,0.053,0.093,Needs Attention,IX. kerület
V. kerület,941,0.523,492,82.437,32.0,20.247,9.0,0.607,47.499,47.485,47.519,941,19.052,19.041,19.153,0.0,0.307,32.8,1.0,0.034,0.112,Needs Attention,V. kerület
VI. kerület,718,0.543,390,89.536,38.0,26.739,16.0,0.571,47.508,47.497,47.524,718,19.063,19.051,19.081,0.0,0.34,31.9,1.0,0.027,0.03,Needs Attention,VI. kerület
VII. kerület,846,0.624,528,81.394,37.0,28.99,12.5,0.533,47.501,47.494,47.579,846,19.071,19.049,19.091,0.0,0.304,36.4,1.0,0.085,0.042,Needs Attention,VII. kerület
VIII. kerület,1529,0.599,916,85.795,34.0,28.756,8.0,0.515,47.491,47.476,47.533,1529,19.08,19.056,19.109,0.0,0.336,42.7,1.0,0.057,0.053,Needs Attention,VIII. kerület
X. kerület,2272,0.658,1495,65.886,31.0,23.124,12.0,0.481,47.481,47.462,47.506,2272,19.144,19.098,19.212,0.0,0.31,52.5,1.0,0.044,0.114,Needs Attention,X. kerület
XI. kerület,3990,0.539,2149,73.951,38.0,21.491,8.0,0.638,47.468,47.428,47.489,3990,19.032,18.979,19.15,0.0,0.267,62.7,1.0,0.061,0.171,Needs Attention,XI. kerület
XII. kerület,1591,0.661,1052,91.16,34.0,15.606,4.0,0.481,47.499,47.478,47.528,1591,19.008,18.935,19.03,0.0,0.278,45.9,1.0,0.05,0.095,Needs Attention,XII. kerület
XIII. kerület,2873,0.599,1722,79.1,30.0,22.994,13.0,0.468,47.529,47.499,47.604,2873,19.067,19.04,19.097,0.0,0.249,56.9,1.0,0.105,0.057,Needs Attention,XIII. kerület
XIV. kerület,3835,0.544,2087,71.315,34.0,32.248,21.0,0.622,47.515,47.49,47.545,3835,19.114,19.061,19.156,0.0,0.266,61.6,1.0,0.055,0.095,Needs Attention,XIV. kerület
XIX. kerület,1027,0.642,659,69.577,41.0,21.225,11.0,0.523,47.454,47.423,47.561,1027,19.142,19.055,19.17,0.0,0.27,38.9,1.0,0.138,0.115,Needs Attention,XIX. kerület
XV. kerület,686,0.577,396,62.591,29.0,17.607,10.0,0.862,47.548,47.529,47.599,686,19.13,19.105,19.156,0.0,0.251,26.8,1.0,0.07,0.051,Needs Attention,XV. kerület
XVI. kerület,710,0.558,396,78.561,41.0,28.34,10.0,0.541,47.518,47.492,47.543,710,19.188,19.071,19.253,0.0,0.268,32.9,1.0,0.051,0.182,Needs Attention,XVI. kerület
XVII. kerület,654,0.592,387,70.331,35.0,35.391,29.0,0.688,47.48,47.432,47.51,654,19.25,19.038,19.324,0.0,0.295,30.4,1.0,0.078,0.286,Needs Attention,XVII. kerület
XVIII. kerület,740,0.57,422,83.782,39.0,31.1,17.5,0.723,47.434,47.39,47.489,740,19.187,19.064,19.263,0.0,0.288,29.9,1.0,0.099,0.199,Needs Attention,XVIII. kerület
XX. kerület,1349,0.661,892,103.978,42.0,25.686,7.0,0.59,47.437,47.409,47.502,1349,19.111,19.063,19.212,0.0,0.29,41.3,1.0,0.093,0.149,Needs Attention,XX. kerület
XXI. kerület,932,0.607,566,81.942,32.0,26.938,18.0,0.602,47.423,47.388,47.462,932,19.072,19.033,19.107,0.0,0.31,35.3,1.0,0.074,0.074,Needs Attention,XXI. kerület
XXII. kerület,571,0.548,313,78.291,44.0,28.688,25.0,0.655,47.419,47.38,47.49,571,19.022,18.954,19.111,0.0,0.32,29.0,1.0,0.11,0.157,Needs Attention,XXII. kerület
XXIII. kerület,270,0.641,173,65.104,40.0,30.105,17.0,0.778,47.408,47.362,47.539,270,19.123,19.092,19.174,0.0,0.226,26.3,1.0,0.177,0.082,Needs Attention,XXIII. kerület
