category,reports_count
,11
AkadÃĄlymentesÃ­tÃĐs,1
Akadálymentesítés,75
EgyÃĐb,4
Egyéb,749
Elhagyott jÃĄrmÅą,4
Elhagyott jármű,1358
Elhagyott jรกrmลฑ,1
Forgalomtechnika,2567
Graffiti,446
JÃĄrda,1
Járda,1210
KerÃĐkpÃĄrozÃĄs,2
Kerékpározás,312
KÃĄtyÃš,2
KÃķzmÅąvek,5
KÃķztisztasÃĄg,10
Kátyú,962
Közművek,2427
Köztisztaság,2930
Közvilágítás,755
Közösségi közlekedés,523
KûÑzméÝvek,1
KĂ¶zmĹ±vek,2
KĂ¶ztisztasĂˇg,1
KĂśzmĹąvek,1
KĂśztisztasĂĄg,4
KГ¶ztisztasГЎg,1
Kأ¶ztisztasأ،g,1
Kأ،tyأ؛,1
Kรกtyรบ,1
Kรถzmลฑvek,1
Kรถztisztasรกg,1
Parkok Ã©s zÃ¶ldterÃŒletek,1
Parkok ÃĐs zÃķldterÃžletek,9
Parkok és zöldterületek,2733
Parkok Ă©s zĂ¶ldterĂĽletek,1
Parkok ĂŠs zĂśldterĂźletek,2
Parkolás,494
