category,I. kerület,II. kerület,III. kerület,IV. kerület,IX. kerület,Unknown,V. kerület,VI. kerület,VII. kerület,VIII. kerület,X. kerület,XI. kerület,XII. kerület,XIII. kerület,XIV. kerület,XIX. kerület,XV. kerület,XVI. kerület,XVII. kerület,XVIII. kerület,XX. kerület,XXI. kerület,XXII. kerület,XXIII. kerület
,0,1,0,1,0,0,0,0,0,1,0,1,0,1,2,0,2,0,0,0,0,0,0,0
Akadálymentesítés,1,6,13,1,4,0,3,2,1,0,1,7,3,3,9,3,0,0,2,2,1,1,0,0
Egyéb,33,44,57,16,23,0,28,11,13,37,24,48,28,46,64,11,5,21,11,7,49,7,7,6
Elhagyott jármű,7,49,121,37,33,2,4,4,10,33,74,159,41,46,139,46,85,15,22,26,79,35,33,29
Forgalomtechnika,80,161,209,75,101,5,69,36,61,82,106,169,110,177,180,34,39,40,18,49,59,59,14,17
Graffiti,26,31,38,11,53,1,21,7,8,21,12,35,11,33,33,4,2,2,0,0,2,1,4,0
Járda,77,78,72,40,58,2,40,38,34,37,44,91,42,41,91,15,17,26,24,14,19,10,12,5
Kerékpározás,19,25,16,2,11,1,8,3,6,20,9,25,6,39,16,2,1,13,1,1,3,6,6,0
Kátyú,26,48,134,28,32,1,8,15,17,26,23,51,53,28,96,22,16,15,17,19,40,40,29,4
Közművek,48,114,118,51,130,3,38,57,41,106,203,216,86,168,265,31,23,43,21,19,79,85,22,20
Köztisztaság,74,254,244,52,149,14,55,34,36,105,168,199,99,175,355,34,49,29,26,33,84,35,14,21
Közvilágítás,15,45,108,12,46,7,16,3,1,14,22,27,22,58,23,5,9,9,4,12,9,15,4,4
Közösségi közlekedés,26,21,45,10,29,1,11,9,5,20,57,34,13,29,36,9,5,8,5,5,3,6,4,1
Parkok és zöldterületek,72,221,342,64,118,7,53,35,34,104,109,243,97,196,331,31,48,66,39,32,97,52,14,11
Parkolás,16,30,34,7,5,0,7,7,16,13,6,58,29,21,41,9,31,10,5,4,4,1,19,1
