district,Total_Reports,Resolution_Rate,Anonymous_Rate,Avg_Images,Avg_Updates
XIV. kerület,1681,0.613,0.667,2.303,0.23
III. kerület,1551,0.502,0.432,2.439,0.228
XI. kerület,1363,0.55,0.701,2.024,0.323
II. kerület,1128,0.624,0.634,2.089,0.283
XIII. kerület,1061,0.65,0.497,2.108,0.352
X. kerület,858,0.679,0.569,2.498,0.298
IX. kerület,792,0.646,0.706,2.17,0.384
XII. kerület,640,0.589,0.453,2.038,0.25
VIII. kerület,619,0.582,0.522,2.145,0.247
XX. kerület,528,0.657,0.737,1.784,0.22
I. kerület,520,0.64,0.685,2.012,0.346
IV. kerület,407,0.649,0.713,2.211,0.211
V. kerület,361,0.651,0.626,1.945,0.391
XXI. kerület,353,0.703,0.683,1.949,0.269
XV. kerület,332,0.726,0.886,2.22,0.193
XVI. kerület,297,0.613,0.566,2.165,0.269
VII. kerület,283,0.562,0.608,1.83,0.208
VI. kerület,261,0.552,0.617,2.207,0.341
XIX. kerület,256,0.621,0.59,2.25,0.234
XVIII. kerület,223,0.547,0.713,2.229,0.175
XVII. kerület,195,0.615,0.708,2.226,0.2
XXII. kerület,182,0.615,0.846,1.874,0.187
XXIII. kerület,119,0.655,0.832,2.479,0.37
Unknown,44,0.886,0.682,2.205,0.114
