DistrictName,TotalReports,ResolutionRate,AvgDaysToResolution,CitizenEngagementScore,AnonymousRate,CenterLatitude,CenterLongitude,GPSCoverageRate,IssuesPerKmSquared,AvgUrgencyScore
Csepel,4,0.25,,12.7,0.75,47.422,19.07,1.0,0.4,0.0
I. kerület,223,0.318,29.479,26.5,0.628,47.499,19.034,1.0,22.3,2.466
II. kerület,650,0.342,21.55,44.8,0.64,47.524,19.004,1.0,65.0,1.862
III. kerület,850,0.272,30.186,54.9,0.451,47.572,19.049,1.0,85.0,2.129
IV. kerület,254,0.37,20.894,27.1,0.736,47.567,19.094,1.0,25.4,1.26
IX. kerület,391,0.358,19.729,35.0,0.609,47.475,19.081,1.0,39.1,1.253
Kispest,1,0.0,,20.0,0.0,47.446,19.147,1.0,0.1,0.0
Unknown,74,0.243,37.0,17.8,0.635,47.501,19.07,1.0,7.4,0.946
V. kerület,193,0.368,21.268,27.5,0.591,47.499,19.053,1.0,19.3,1.813
VI. kerület,152,0.257,23.462,20.7,0.678,47.508,19.063,1.0,15.2,2.434
VII. kerület,148,0.365,20.704,26.4,0.547,47.5,19.069,1.0,14.8,1.824
VIII. kerület,348,0.348,20.926,37.3,0.391,47.491,19.079,1.0,34.8,1.724
X. kerület,436,0.443,18.394,41.3,0.523,47.481,19.146,1.0,43.6,2.271
XI. kerület,699,0.313,24.014,44.6,0.708,47.468,19.034,1.0,69.9,1.974
XII. kerület,388,0.379,25.66,37.9,0.5,47.499,19.005,1.0,38.8,3.273
XIII. kerület,551,0.352,24.469,42.6,0.561,47.53,19.067,1.0,55.1,1.815
XIV. kerület,957,0.357,26.696,57.8,0.654,47.515,19.114,1.0,95.7,2.038
XIX. kerület,130,0.331,24.512,23.8,0.592,47.454,19.141,1.0,13.0,3.0
XV. kerület,186,0.376,19.229,22.2,0.855,47.549,19.13,1.0,18.6,2.473
XVI. kerület,164,0.28,30.717,24.4,0.555,47.518,19.185,1.0,16.4,2.866
XVII. kerület,123,0.415,25.51,23.4,0.724,47.48,19.252,1.0,12.3,2.683
XVIII. kerület,115,0.339,28.154,21.7,0.678,47.431,19.189,1.0,11.5,2.87
XX. kerület,341,0.323,23.873,29.3,0.739,47.437,19.111,1.0,34.1,0.997
XXI. kerület,235,0.345,22.136,26.6,0.685,47.422,19.074,1.0,23.5,1.277
XXII. kerület,90,0.4,25.056,20.1,0.789,47.415,19.013,1.0,9.0,1.0
XXIII. kerület,51,0.51,28.0,21.7,0.804,47.411,19.122,1.0,5.1,3.333
